Name,F.year,Address,States,City,County,Type,latitude,longitude,geocode_source,geocode_input,matched_address,match_type
Asian American Education Institute,2008,"515 S FIGUEROA ST STE 1110,LOS ANGELES, CA 90071",CA,LOS ANGELES,LOS ANGELES,Advocacy,34.05199,-118.25764,geocodio,"515 S FIGUEROA ST STE 1110,LOS ANGELES, CA 90071","515 S Figueroa St, Ste 1110, Los Angeles, CA 90071",1
Asian American Curriculum Project,1969,"529 E 3rd Ave, San Mateo, CA 94401",CA,SAN MATEO,SAN MATEO,Advocacy,37.56696,-122.320736,geocodio,"529 E 3rd Ave, San Mateo, CA 94401","529 E 3rd Ave, San Mateo, CA 94401",1
South Asian Youth Action,1996,"5405 Seabury St Elmhurst, NY 11373-4431",NY,ELMHURST,QUEENS,CSO,40.735337,-73.877233,geocodio,"5405 Seabury St Elmhurst, NY 11373-4431","54-5 Seabury St, Elmhurst, NY 11373",1
Asian Americans Advancing Justice - Asian Law Caucus,1972,"55 Columbus Avenue, San Francisco, CA 94111",CA,SAN FRANCISCO,SAN FRANCISCO,Hybrid,37.795983,-122.404275,geocodio,"55 Columbus Avenue, San Francisco, CA 94111","55 Columbus Ave, San Francisco, CA 94111",1
CAAAV Organizing Asian Communities,1986,"55 Hester Street, Storefront New York, NY 10002",NY,NEW YORK,NEW YORK,Advocacy,40.715763,-73.990145,geocodio,"55 Hester Street, Storefront New York, NY 10002","55 Hester St, New York, NY 10002",1
Asian American Service Association,1994,"550 Hancock St, Quincy, MA 02170",MA,QUINCY,NORFOLK,CSO,42.27034,-71.020097,geocodio,"550 Hancock St, Quincy, MA 02170","550 Hancock St, Quincy, MA 02170",1
Asian American Developmental Intervention,2016,"5516 HARMONY AVE,LAS VEGAS, NV 89107",NV,LAS VEGAS,CLARK,CSO,36.173527,-115.217603,geocodio,"5516 HARMONY AVE,LAS VEGAS, NV 89107","5516 Harmony Ave, Las Vegas, NV 89107",1
Arizona Asian and Pacific Islander American Vote Table,2016,"5520 N SILVER STREAM WAY,TUCSON, AZ 85704",AZ,TUCSON,PIMA,Advocacy,32.3072,-111.007032,geocodio,"5520 N SILVER STREAM WAY,TUCSON, AZ 85704","5520 N Silver Stream Way, Tucson, AZ 85704",1
Southeast Asian Assistance Center,1977,"5625 24th St Sacramento, CA 95822-2233 USA",CA,SACRAMENTO,SACRAMENTO,CSO,38.524036,-121.48258,geocodio,"5625 24th St Sacramento, CA 95822-2233 USA","5625 24th St, Sacramento, CA 95822",1
Asian Resources,1980,"5709 Stockton Blvd, Sacramento, CA 95824",CA,SACRAMENTO,SACRAMENTO,Hybrid,38.522791,-121.440874,geocodio,"5709 Stockton Blvd, Sacramento, CA 95824","5709 Stockton Blvd, Sacramento, CA 95824",1
Asian American Suicide Prevention Initiative,2008,"5815 N SHERIDAN RD APT 1102, CHICAGO , IL 60660",IL,CHICAGO,COOK,CSO,41.987933,-87.655016,geocodio,"5815 N SHERIDAN RD APT 1102, CHICAGO , IL 60660","5815 N Sheridan Rd, Apt 1102, Chicago, IL 60660",1
Asian Americans Advancing Justice - Atlanta (Asian American Legal Advocacy Center ),2008,"6040 Unity Dr e, Norcross, GA 30071",GA,NORCROSS,GWINNETT,Hybrid,33.914148,-84.205316,geocodio,"6040 Unity Dr e, Norcross, GA 30071","6040 Unity Dr, Ste E, Norcross, GA 30071",1
Asian Help Services,1986,"609 E. 29th Street Indianapolis, IN 46205",IN,INDIANAPOLIS,MARION,CSO,39.808149,-86.14672,geocodio,"609 E. 29th Street Indianapolis, IN 46205","609 E 29th St, Indianapolis, IN 46205",1
Chinese Information and Service Center,1972,"611 S Lane St Seattle, WA 98104",WA,SEATTLE,KING,CSO,47.596517,-122.325607,geocodio,"611 S Lane St Seattle, WA 98104","611 S Lane St, Seattle, WA 98104",1
Asian American Health,2012,"6212 N Lincoln Ave, Chicago, IL 60659",IL,CHICAGO,COOK,CSO,41.994565,-87.714761,geocodio,"6212 N Lincoln Ave, Chicago, IL 60659","6212 N Lincoln Ave, Chicago, IL 60659",1
Asian Development Service Group Nfp,2016,"625 W MADISON ST APT 3211, CHICAGO, IL 60661",IL,CHICAGO,COOK,CSO,41.881242,-87.643762,geocodio,"625 W MADISON ST APT 3211, CHICAGO, IL 60661","625 W Madison St, Apt 3211, Chicago, IL 60661",1
Richmond Area Multi-Services,1974,"639 14th Avenue, San Francisco, CA 94118",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.776097,-122.472874,geocodio,"639 14th Avenue, San Francisco, CA 94118","639 14th Ave, San Francisco, CA 94118",1
Asian American Success,2006,"6521 Arlington Blvd., Suite 401, Falls Church, VA 22402",VA,FALLS CHURCH,FAIRFAX,CSO,38.870282,-77.167621,geocodio,"6521 Arlington Blvd., Suite 401, Falls Church, VA 22402","6521 Arlington Blvd, Ste 401, Falls Church, VA 22042",0.99
Counseling and Education Center for Asian-American Women,2004,"655 AMBOY AVE STE 412 WOODBRIDGE, NJ 07095",NJ,WOODBRIDGE,MIDDLESEX,CSO,40.562531,-74.286048,geocodio,"655 AMBOY AVE STE 412 WOODBRIDGE, NJ 07095","655 Amboy Ave, Ste 412, Woodbridge, NJ 07095",1
Asian American Federation of Florida,1984,"659 NE 125th Street, North Miami, FL, 33161",FL,NORTH MIAMI,MIAMI-DADE,CSO,25.890662,-80.185042,geocodio,"659 NE 125th Street, North Miami, FL, 33161","659 NE 125th St, North Miami, FL 33161",1
Asian Pacific American Community Center,2000,"66 Raymond Ave, San Francisco, CA 94134",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.712508,-122.404362,geocodio,"66 Raymond Ave, San Francisco, CA 94134","66 Raymond Ave, San Francisco, CA 94134",1
Chinatown Community Development Center,1977,"663 Clay St, San Francisco, CA 94111",CA,SAN FRANCISCO,SAN FRANCISCO,Hybrid,37.794457,-122.404131,geocodio,"663 Clay St, San Francisco, CA 94111","663 Clay St, San Francisco, CA 94111",1
Asian American Consulting Service,1997,"677 SENECA AVE,RIDGEWOOD , NY 11385",NY,RIDGEWOOD,QUEENS,CSO,40.703221,-73.908162,geocodio,"677 SENECA AVE,RIDGEWOOD , NY 11385","677 Seneca Ave, Ridgewood, NY 11385",1
Asian American Job Training Center,2006,"680 Wilshire Pl, Los Angeles, CA 90005",CA,LOS ANGELES,LOS ANGELES,CSO,34.060683,-118.287977,geocodio,"680 Wilshire Pl, Los Angeles, CA 90005","680 Wilshire Pl, Los Angeles, CA 90005",1
Asian Community United Society,2009,"6822 20th Avenue Brooklyn, New York 11204",NY,NEW YORK,NEW YORK,CSO,40.614458,-73.98823,geocodio,"6822 20th Avenue Brooklyn, New York 11204","6822 20th Ave, Brooklyn, NY 11204",1
Penn Asian Senior Services,2004,"6926 Old York Road, Philadelphia, PA 19126",PA,PHILADELPHIA,PHILADELPHIA,CSO,40.058955,-75.139427,geocodio,"6926 Old York Road, Philadelphia, PA 19126","6926 Old York Rd, Philadelphia, PA 19126",1
South Asian Americans Leading Together,2000,"6930 Carroll Avenue, Suite 506 Takoma Park, MD 20912",MD,TAKOMA PARK,MONTGOMERY,Advocacy,38.97528,-77.01401,geocodio,"6930 Carroll Avenue, Suite 506 Takoma Park, MD 20912","6930 Carroll Ave, Ste 506, Takoma Park, MD 20912",1
"Career, mobility, and partnership",1972,"70 Mulberry Street, New York, NY 10013",NY,NEW YORK,NEW YORK,CSO,40.716104,-73.999091,geocodio,"70 Mulberry Street, New York, NY 10013","70 Mulberry St, New York, NY 10013",1
Asian American Health Coalition,1994,"7001 Corporate Dr, Houston, TX 77036",TX,HOUSTON,HARRIS,CSO,29.703091,-95.551118,geocodio,"7001 Corporate Dr, Houston, TX 77036","7001 Corporate Dr, Houston, TX 77036",1
Asian Rehabilitation Services,1972,"7009 Washington Ave. Whittier, CA 90602",CA,WHITTIER,LOS ANGELES,CSO,33.978673,-118.035271,geocodio,"7009 Washington Ave. Whittier, CA 90602","7009 Washington Ave, Whittier, CA 90602",1
DRUM - South Asian Organizing Center,2000,"72-18 Roosevelt Avenue Jackson Heights, NY 11372",NY,NEW YORK,QUEENS,Advocacy,40.74658,-73.892858,geocodio,"72-18 Roosevelt Avenue Jackson Heights, NY 11372","72-18 Roosevelt Ave, Jackson Heights, NY 11372",1
Brooklyn Asian Civilian Observation Patrol,2014,"720 57th Street Cellar Brooklyn, NY 11220-3681",NY,NEW YORK,NEW YORK,CSO,40.638099,-74.00949,geocodio,"720 57th Street Cellar Brooklyn, NY 11220-3681","720 57th St, Brooklyn, NY 11220",1
The International District Community Health Center,1975,"720 8th Avenue South, 2nd Floor Seattle, WA 98104",WA,SEATTLE,KING,CSO,47.596127,-122.32218,geocodio,"720 8th Avenue South, 2nd Floor Seattle, WA 98104","720 8th Ave S, Fl 2, Seattle, WA 98104",1
Asian Pacific Community Counseling,1976,7273 14th Avenue #120B Sacramento CA 95820,CA,SACRAMENTO,SACRAMENTO,CSO,38.540098,-121.419062,geocodio,7273 14th Avenue #120B Sacramento CA 95820,"7273 14th Ave, Ste 120, Sacramento, CA 95820",1
Asian Alliance for Health,2013,"728 PACIFIC AVE STE 115,SAN FRANCISCO, CA 94133",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.797093,-122.407467,geocodio,"728 PACIFIC AVE STE 115,SAN FRANCISCO, CA 94133","728 Pacific Ave, Ste 115, San Francisco, CA 94133",1
Asian Services in Action,1995,"730 Carroll Street, Akron, OH 44304",OH,AKRON,SUMMIT,CSO,41.075219,-81.495661,geocodio,"730 Carroll Street, Akron, OH 44304","730 Carroll St, Akron, OH 44304",1
Asian and Pacific Islander Wellness Center,1987,"730 Polk St, Fl 4,San Francisco, CA 94109 USA",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.783819,-122.419007,geocodio,"730 Polk St, Fl 4,San Francisco, CA 94109 USA","730 Polk St, Fl 4, San Francisco, CA 94109",1
Center for Asian American Wellness,2010,"730 Polk St, San Francisco, CA 94109",CA,GARDEN GROVE,ORANGE,CSO,37.783819,-122.419007,geocodio,"730 Polk St, San Francisco, CA 94109","730 Polk St, San Francisco, CA 94109",1
Self-Help for the Elderly,1966,"731 Sansome St #100, San Francisco, CA 94111",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.797111,-122.402318,geocodio,"731 Sansome St #100, San Francisco, CA 94111","731 Sansome St, Ste 100, San Francisco, CA 94111",1
The Asian Community Center of Sacramento Valley,1987,"7334 Park City Drive Sacramento, CA 95831",CA,SACRAMENTO,SACRAMENTO,CSO,38.492316,-121.51899,geocodio,"7334 Park City Drive Sacramento, CA 95831","7334 Parkcity Dr, Sacramento, CA 95831",1
East Bay Asian Voter Education Consortium,2000,"734 PALMERA COURT, ALAMEDA, CA  94501",CA,ALAMEDA,ALAMEDA,Advocacy,37.764479,-122.259746,geocodio,"734 PALMERA COURT, ALAMEDA, CA  94501","734 Palmera Ct, Alameda, CA 94501",1
Greater Boston Chinese Golden Age Center,1972,"75 Kneeland St., Suite 204, Boston, MA 02111",MA,BOSTON,SUFFOLK,CSO,42.350189,-71.060611,geocodio,"75 Kneeland St., Suite 204, Boston, MA 02111","75 Kneeland St, Ste 204, Boston, MA 02111",1
Metropolitan Asian Family Services,1992,"7541 N Western Ave, Chicago, IL 60645",IL,CHICAGO,COOK,CSO,42.018643,-87.689819,geocodio,"7541 N Western Ave, Chicago, IL 60645","7541 N Western Ave, Chicago, IL 60645",1
Asian American Cancer Fellowship,2008,"7558 CRAWFORD AVE UNIT D, SKOKIE, IL 60076",IL,CHICAGO,COOK,CSO,42.018772,-87.728805,geocodio,"7558 CRAWFORD AVE UNIT D, SKOKIE, IL 60076","7558 Crawford Ave, Unit D, Skokie, IL 60076",1
Asian Community Alliance,2005,"7566 CENTRAL PARKE BLVD, MASON, OH 45040",OH,MASON,WARREN,CSO,39.329608,-84.315735,geocodio,"7566 CENTRAL PARKE BLVD, MASON, OH 45040","7566 Central Parke Blvd, Mason, OH 45040",1
Brooklyn Asian Voice Organization,2008,"762 59th str, Room 502, Brooklyn, NY",NY,NEW YORK,NEW YORK,Hybrid,40.63626,-74.009752,geocodio,"762 59th str, Room 502, Brooklyn, NY","762 59th St, Brooklyn, NY 11220",1
Asian America Affairs Association,2004,"7683 SE 27TH ST 145, MERCER ISLAND, WA 98040",WA,MERCER ISLAND,KING,CSO,47.586448,-122.235474,geocodio,"7683 SE 27TH ST 145, MERCER ISLAND, WA 98040","7683 SE 27th St 145, Mercer Island, WA 98040",1
Wu Yee Childrens Services,1977,"827 Broadway St. San Francisco, CA 94133",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.797015,-122.410712,geocodio,"827 Broadway St. San Francisco, CA 94133","827 Broadway, San Francisco, CA 94133",1
Asian Women For Health,2013,"83 Wallace St Somerville, MA 02144-1832 ",MA,SOMERVILLE,MIDDLESEX,CSO,42.400226,-71.121311,geocodio,"83 Wallace St Somerville, MA 02144-1832","83 Wallace St, Somerville, MA 02144",1
Chinese American Voters Education Committee,1976,"838 Grant Ave #403 SF, CA, 94108 ",CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy,37.794795,-122.406305,geocodio,"838 Grant Ave #403 SF, CA, 94108","838 Grant Ave, Ste 403, San Francisco, CA 94108",1
Asian American Senior Citizens Service Center,1989,"850 North Birch Street, Santa Ana, CA 92701 ",CA,SANTA ANA,ORANGE,CSO,33.753204,-117.87076,geocodio,"850 North Birch Street, Santa Ana, CA 92701","850 N Birch St, Santa Ana, CA 92701",1
Pacific Asian Counseling Services,1981,"8616 La Tijera Blvd Ste 200 Los Angeles, CA 90045-3945",CA,LOS ANGELES,LOS ANGELES,CSO,33.95933,-118.39173,geocodio,"8616 La Tijera Blvd Ste 200 Los Angeles, CA 90045-3945","8616 S La Tijera Blvd, Ste 200, Los Angeles, CA 90045",1
Asian American Civic Association,1967,"87 Tyler St, Boston, MA 02111",MA,BOSTON,SUFFOLK,CSO,42.348939,-71.061651,geocodio,"87 Tyler St, Boston, MA 02111","87 Tyler St, Boston, MA 02111",1
Southeast Asian Community Center,1975,875 O'Farrell Street San Francisco CA 94109,CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.784772,-122.419011,geocodio,875 O'Farrell Street San Francisco CA 94109,"875 Ofarrell St, San Francisco, CA 94109",1
Asian American Chemical Dependency,2003,"8811 SOUTH TACOMA WAY STE 106, LAKEWOOD, WA 98499",WA,LAKEWOOD,PIERCE,CSO,47.177295,-122.481994,geocodio,"8811 SOUTH TACOMA WAY STE 106, LAKEWOOD, WA 98499","8811 S Tacoma Way, Ste 106, Lakewood, WA 98499",1
Boston Chinatown Neighborhood Center,1969,"885 Washington Street, Boston, MA 02111",MA,BOSTON,SUFFOLK,CSO,42.347979,-71.064921,geocodio,"885 Washington Street, Boston, MA 02111","885 Washington St, Boston, MA 02111",1
Kai Ming,1975,"900 Kearny St Suite 600, San Francisco, CA 94133 ",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.796316,-122.405013,geocodio,"900 Kearny St Suite 600, San Francisco, CA 94133","900 Kearny St, Ste 600, San Francisco, CA 94133",1
Asian Pacific Policy and Planning Council,1976,"905 E 8th St, Los Angeles, CA 90021",CA,LOS ANGELES,LOS ANGELES,CSO,34.03645,-118.24647,geocodio,"905 E 8th St, Los Angeles, CA 90021","905 E 8th St, Los Angeles, CA 90021",1
Asian Women's Resource Center Gum Moon Women's Residence,1868,"940 Washington Street San Francisco, CA 94108",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.79503,-122.408757,geocodio,"940 Washington Street San Francisco, CA 94108","940 Washington St, San Francisco, CA 94108",1
South Asian Public Health Association,1999,"9408 Holbrook Ln. Potomac, MD 20854",MD,POTOMAC,MONTGOMERY,CSO,39.010698,-77.214943,geocodio,"9408 Holbrook Ln. Potomac, MD 20854","9408 Holbrook Ln, Potomac, MD 20854",1
Asian American Family Services,1994,"9440 Bellaire Blvd # 228, Houston, TX 77036",TX,HOUSTON,HARRIS,CSO,29.705341,-95.549463,geocodio,"9440 Bellaire Blvd # 228, Houston, TX 77036","9440 Bellaire Blvd, Ste 228, Houston, TX 77036",1
Southeast Asian Community Alliance,2002,"970 N. Broadway, Suite 209 Los Angeles, CA 90012",CA,LOS ANGELES,LOS ANGELES,Hybrid,34.06589,-118.236258,geocodio,"970 N. Broadway, Suite 209 Los Angeles, CA 90012","970 N Broadway, Ste 209, Los Angeles, CA 90012",1
Chinatown Community Children's Center,1972,"979 Clay Street, San Francisco, CA 94108",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.79382,-122.409146,geocodio,"979 Clay Street, San Francisco, CA 94108","979 Clay St, San Francisco, CA 94108",1
Chinese Community Center ,1979,"9800 Town Park Dr., Houston, TX 77036",TX,HOUSTON,HOUSTON,CSO,29.712743,-95.554383,geocodio,"9800 Town Park Dr., Houston, TX 77036","9800 Town Park Dr, Houston, TX 77036",1
Asian American Law Fund of New York,1993,"99 Hudson St, New York, NY 10013",NY,NEW YORK,NEW YORK,CSO,40.718983,-74.008936,geocodio,"99 Hudson St, New York, NY 10013","99 Hudson St, New York, NY 10013",1
Asian American Legal Defense and Education Fund,1974,"99 Hudson St, New York, NY 10013",NY,NEW YORK,NEW YORK,Advocacy,40.718983,-74.008936,geocodio,"99 Hudson St, New York, NY 10013","99 Hudson St, New York, NY 10013",1
Asian Law Alliance,1977,"991 W Hedding St, San Jose, CA 95126",CA,SAN JOSE,SANTA CLARA,Hybrid,37.342331,-121.921434,geocodio,"991 W Hedding St, San Jose, CA 95126","991 W Hedding St, San Jose, CA 95126",1
Asian American Federation,1989,"9th Floor, 120 Wall St, New York, NY 10005",NY,NEW YORK,NEW YORK,Hybrid,40.706641,-74.00992,geocodio,"9th Floor, 120 Wall St, New York, NY 10005","Wall St, New York, NY 10005",1
Asian Christian Counseling and Educational Seminar Services,2004,"Alpharetta, GA 30023",GA,ALPHARETTA,FULTON,CSO,33.844371,-84.47405,geocodio,"Alpharetta, GA 30023","Alpharetta, GA 30023",1
Asian Sisters Participating in Reaching Excellence,2001,"BOSTON, MA 02205",MA,BOSTON,SUFFOLK,CSO,42.350334,-71.053877,geocodio,"BOSTON, MA 02205","Boston, MA 02205",1
Asian Americans Advancing Justice - Chicago (Asian American Institute),1992,"Bridgeview Bank Building, 4753 N Broadway St #02, Chicago, IL 60640",IL,CHICAGO,COOK,Hybrid,41.968703,-87.659178,geocodio,"Bridgeview Bank Building, 4753 N Broadway St #02, Chicago, IL 60640","4753 N Broadway St, # 02, Chicago, IL 60640",1
Media Action Network for Asian Americans,1992,"Burbank, CA, 91510",CA,BURBANK,LOS ANGELES,Advocacy,33.786594,-118.298662,geocodio,"Burbank, CA, 91510","Burbank, CA 91510",1
Sakhi for South Asian Women,1989,"Church Station New York, NY 10008-1333",NY,NEW YORK,NEW YORK,CSO,40.715716,-74.00732,geocodio,"Church Station New York, NY 10008-1333","Church St, New York, NY 10013",0.99
Ohio Asian American Health Coalition,2002,"Columbus, OH 43218-3108",OH,COLUMBUS,FRANKLIN,Hybrid,39.969036,-83.011389,geocodio,"Columbus, OH 43218-3108","Columbus, OH 43218",1
West Michigan Asian American Association,2011,Grand Rapids MI 49523-0432,MI,GRAND RAPIDS,KENT,CSO,43.031413,-85.550267,geocodio,Grand Rapids MI 49523-0432,"Grand Rapids, MI 49523",1
Asian American and Pacific Islander Research Coalition,2012,"Honolulu, HI 96825",HI,HONOLULU,HONOLULU,Advocacy,21.294519,-157.688748,geocodio,"Honolulu, HI 96825","Honolulu, HI 96825",1
Asian American Coalition for Education,2014,"Livingston, NJ 07039",NJ,LIVINGSTON,ESSEX,Advocacy,40.787006,-74.325993,geocodio,"Livingston, NJ 07039","Livingston, NJ 07039",1
Gay Asian Pacific Support Network,1984,"Los Angeles, CA 90046 ",CA,LOS ANGELES,LOS ANGELES,CSO,34.108455,-118.362081,geocodio,"Los Angeles, CA 90046","Los Angeles, CA 90046",1
Asian Women United of Minnesota,1996,"MINNEAPOLIS, MN 55406",MN,MINNEAPOLIS,HENNEPIN,CSO,44.940496,-93.22104,geocodio,"MINNEAPOLIS, MN 55406","Minneapolis, MN 55406",1
Chinatown Youth Initiatives,1999,"New York, NY 10013-0980 USA",NY,NEW YORK,NEW YORK,CSO,40.722105,-74.003497,geocodio,"New York, NY 10013-0980 USA","New York, NY 10013",1
North East Medical Services,1968,"North East Medical Services 1520 Stockton Street San Francisco, CA 94133",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.799941,-122.408725,geocodio,"North East Medical Services 1520 Stockton Street San Francisco, CA 94133","1520 Stockton St, San Francisco, CA 94133",1
Chinatown Improvement District,2008,"P.O. Box 37764 Honolulu, HI 96837",HI,HONOLULU,HONOLULU,CSO,21.316548,-157.845053,geocodio,"P.O. Box 37764 Honolulu, HI 96837","PO Box 37764, Honolulu, HI 96837",1
South Asian Womens Empowerment and Resource Alliance,1997,"Portland, OR, 97291-0242",OR,PORTLAND,MULTNOMAH,CSO,45.548616,-123.114725,geocodio,"Portland, OR, 97291-0242","Portland, OR 97291",1
Asian Pacific Youth Leadership Project,1990,"Sacramento, CA 95822-0423 USA",CA,SACRAMENTO,SACRAMENTO,Hybrid,38.511356,-121.497716,geocodio,"Sacramento, CA 95822-0423 USA","Sacramento, CA 95822",1
Gay Asian Pacific Alliance,1988,San Francisco,CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.776646,-122.417481,geocodio,San Francisco,"San Francisco, CA 94101",1
MAITRI,1991,"Santa Clara, CA 95052 ",CA,SANTA CLARA,SANTA CLARA,CSO,37.189396,-121.705327,geocodio,"Santa Clara, CA 95052","Santa Clara, CA 95052",1
South Cove Community Health Center,1972,"South Street Clinic 145 South St. Boston, MA 02111-2826",MA,BOSTON,SUFFOLK,CSO,42.350756,-71.057532,geocodio,"South Street Clinic 145 South St. Boston, MA 02111-2826","145 South St, Boston, MA 02111",1
National Coalition for Asian Pacific American Community Development,1999,"Suite 2, 1825 San Pablo Ave, Oakland, CA 94612",CA,OAKLAND,ALAMEDA,Hybrid,37.809849,-122.273141,geocodio,"Suite 2, 1825 San Pablo Ave, Oakland, CA 94612","San Pablo Ave, Oakland, CA 94612",0.7
The Asian/Pacific Islander Domestic Violence Resource Project,1996,"Washington, DC 20044 USA",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CSO,38.893311,-77.014647,geocodio,"Washington, DC 20044 USA","Washington, DC 20044",1
Southeast Asia Resource Action Center,1979,"Washington, DC Office, 1628 16th Street, NW Washington, DC 20009",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Hybrid,38.912172,-77.036912,geocodio,"Washington, DC Office, 1628 16th Street, NW Washington, DC 20009","1628 16th St NW, Washington, DC 20009",1
American Citizens for Justice,1983,"Westland, Michigan 48185",MI,WESTLAND,WAYNE,Advocacy,42.333901,-83.384209,geocodio,"Westland, Michigan 48185","Westland, MI 48185",1
Asian Community Development Center,2015,"WOODSIDE, NY 11377",NY,WOODSIDE,QUEENS,CSO,40.748372,-73.905445,geocodio,"WOODSIDE, NY 11377","Woodside, NY 11377",1
80-20 Initiative,1998,,,,,Advocacy,,,missing_query,,,
ASHA for Women,1989,,MD,ROCKVILLE,MONTGOMERY,CSO,39.089557,-77.184127,geocodio,"ROCKVILLE, MD","Rockville, MD 20850",1
Asian American Cancer Support Network,2003,,CA,SUNNYVALE,SANTA CLARA,CSO,37.371647,-122.023153,geocodio,"SUNNYVALE, CA","Sunnyvale, CA 94086",1
Asian American Education Association of Palm Beach County,2015,,FL,BOCA RATON,PALM BEACH,CSO,26.348017,-80.218991,geocodio,"BOCA RATON, FL","Boca Raton, FL 33428",1
Asian American Environmental Awareness Organization,1999,,MD,CLARKSVILLE,HOWARD,Advocacy,39.212456,-76.951498,geocodio,"CLARKSVILLE, MD","Clarksville, MD 21029",1
Asian American National Committee,2000,,MA,DORCHESTER,SUFFOLK,Hybrid,42.291413,-71.042158,geocodio,"DORCHESTER, MA","Dorchester, MA 02122",1
Asian American Parents Association,1991,,CA,CUPERTINO,SANTA CLARA,Advocacy,37.30661,-122.080628,geocodio,"CUPERTINO, CA","Cupertino, CA 95014",1
Asian and Pacific Islander Family Pride,2004,,CA,FREMONT,ALAMEDA,CSO,37.565285,-121.982721,geocodio,"FREMONT, CA","Fremont, CA 94536",1
Asian Family Support Services of Austin,1992,,TX,AUSTIN,AUSTIN,CSO,30.268335,-97.741382,geocodio,"AUSTIN, TX","Austin, TX 78701",1
Asian Focus Corporation,2010,,NC,MORRISVILLE,WAKE,CSO,35.852458,-78.843526,geocodio,"MORRISVILLE, NC","Morrisville, NC 27560",1
Asian Pacific Islander Domestic Violence Resource Project,1996,,DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CSO,38.921396,-76.993643,geocodio,"WASHINGTON DC, DC","Washington Pl NE, Washington, DC 20018",0.9
Asian Pacific Islander Pride,1993,,OR,PORTLAND,MULTNOMAH,CSO,45.507856,-122.690794,geocodio,"PORTLAND, OR","Portland, OR 97201",1
Asian Pacific Rim Foundation,1998,,CA,SACRAMENTO,SACRAMENTO,CSO,38.377411,-121.444429,geocodio,"SACRAMENTO, CA","Sacramento, CA 94240",1
Gay Asian and Pacific Islander Men of New York,1990,,NY,NEW YORK,NEW YORK,Hybrid,40.750422,-73.996328,geocodio,"NEW YORK, NY","New York, NY 10001",1
IRCO Asian Family Center,1994,,OR,PORTLAND,MULTNOMAH,CSO,45.507856,-122.690794,geocodio,"PORTLAND, OR","Portland, OR 97201",1
National AAPI DACA Collaborative,2012,,CA,LOS ANGELES,LOS ANGELES,Advocacy,33.973951,-118.248405,geocodio,"LOS ANGELES, CA","Los Angeles, CA 90001",1
Riverside Asian American Community Association,2004,,CA,RIVERSIDE,RIVERSIDE,CSO,33.99504,-117.373184,geocodio,"RIVERSIDE, CA","Riverside, CA 92501",1
Southwest Center for Asian Pacific American Law,2000,,CA,SAN DIEGO,SAN DIEGO,CSO,32.724103,-117.170912,geocodio,"SAN DIEGO, CA","San Diego, CA 92101",1
